Place,No. of Foreign Tourists in 2018
Almeria,284
Caibiran,-
Cabucgayan,54
Culaba,-
Kawayan,-
Maripipi,-
Naval,821
Eastern Samar,"1,016"
Borongan City,638
Can-Avid,7
Gen. McArthur,-
Guiuan,371
Llorente,-
Quinapondan,-
Taft,-
Leyte,"10,804"
Abuyog,-
Alburera,-
Bago,-
Bato,-
Baybay City,809
Hilongos,-
Inopacan,-
Isabel,126
Kanangga,-
Matalom,352
McArthur,9
Ormoc City,"5,747"
Palo,-
Palompon,"3,735"
San Isidro,-
Tolosa,26
Northern Samar,643
Allen,158
Biri,121
Bobon,4
Capul,75
Catarman,131
Gamay,-
Las Navas,-
Mondragon,21
Navar,-
Palapag,-
San Antonio,131
San Roque,2
Victoria,-
Samar,"8,723"
Calbayog City,"7,928"
Catbalogan,795
Basey,-
Marabut,-
Paranas,-
Southern Leyte,"5,248"
Hinunangan,137
Hinundayan,45
Liloan,65
Limasawa,-
Maasin City,"2,287"
Macrohon,"2,253"
Padre Burgos,-
Pintuyan,-
San Juan,25
Saint Bernard,1
Silago,-
Sogod,433
Tomas Oppus,2
Others (Southern Leyte),-
Tacloban City,"23,081"
Region IX (ZAMBOANGA PENINSULA) ,16830 
Zamboanga del Norte,"5,389"
Dapitan City,867
Dipolog City,"4,458"
Others,64
Zamboanga del Sur,704
Pagadian City,704
Others,"1,765"
Zamboanga Sibugay,86
Isabela City,-
Zamboanga City,"8,886"
Region X (NORTHERN MINDANAO) ,"63,444"
Bukidnon,"1,988"
Malaybalay City,"1,204"
Valencia City,646
Others,138
Camiguin,"16,231"
Lanao del Norte,615
Misamis Occidental,"2,700"
Ozamis City,"2,528"
Tangub City,26
Oroquieta City,122
Others,24
Misamis Oriental,"1,233"
Gingoog City,308
Others,925
Cagayan de Oro City,"37,477"
Iligan City,"3,200"
Region XI (DAVAO REGION),"198,005"
Compostela Valley,193
Davao del Norte,"6,779"
Asuncion,-
Island Garden City of Samal,-
Kapalong,-
New Corella,-
Panabo City,-
Tagum City,-
Others,"6,779"
Davao del Sur,"4,004"
Davao Occcidental,-
Davao Oriental,"2,534"
Davao City,"184,495"
Region XII (SOCCSSARGEN),"18,810"
North Cotabato,79
Kidapawan City,79
Others (Cotabato Province),-
Sarangani,435
South Cotabato,"4,989"
Koronadal City,"4,330"
Others,659
Sultan Kudarat,77
Tacurong City,77
Others,-
Cotabato City,"1,813"
General Santos City,"11,417"
Region XIII (CARAGA),"87,093"
Agusan del Norte,366
Cabadbaran City,251
Others,115
Agusan del Sur,592
Bayugan,57
Others,535
Dinagat Islands,843
Surigao del Norte,"72,133"
Siargao Islands,"57,037"
Surigao City,"14,600"
Others,496
Surigao del Sur,"1,310"
Bislig City,107
Tandag City,299
Others,904
Butuan City,"11,849"
GRAND TOTAL,"8,211,535"
